Channel Partners;United States of America; Montana ; Low ;1142; $5,00 ; $12,00 ; $274,08 ;01.06.2014
Government;United States of America; Montana ; Low ;1566; $5,00 ; $20,00 ; $626,40 ;01.10.2014
Channel Partners;Mexico; Montana ; Low ;690; $5,00 ; $12,00 ; $165,60 ;01.11.2014
Enterprise;Mexico; Montana ; Low ;1660; $5,00 ; $125,00 ; $4 150,00 ;01.11.2013
Midmarket;Canada; Paseo ; Low ;2363; $10,00 ; $15,00 ; $708,90 ;01.02.2014
Small Business;France; Paseo ; Low ;918; $10,00 ; $300,00 ; $5 508,00 ;01.05.2014
Small Business;Germany; Paseo ; Low ;1728; $10,00 ; $300,00 ; $10 368,00 ;01.05.2014
Channel Partners;United States of America; Paseo ; Low ;1142; $10,00 ; $12,00 ; $274,08 ;01.06.2014
Enterprise;Mexico; Paseo ; Low ;662; $10,00 ; $125,00 ; $1 655,00 ;01.06.2014
Channel Partners;Canada; Paseo ; Low ;1295; $10,00 ; $12,00 ; $310,80 ;01.10.2014
Enterprise;Germany; Paseo ; Low ;809; $10,00 ; $125,00 ; $2 022,50 ;01.10.2013
Enterprise;Mexico; Paseo ; Low ;2145; $10,00 ; $125,00 ; $5 362,50 ;01.10.2013
Channel Partners;France; Paseo ; Low ;1785; $10,00 ; $12,00 ; $428,40 ;01.11.2013
Small Business;Canada; Paseo ; Low ;1916; $10,00 ; $300,00 ; $11 496,00 ;01.12.2014
Government;Canada; Paseo ; Low ;2852; $10,00 ; $350,00 ; $19 964,00 ;01.12.2014
Enterprise;Canada; Paseo ; Low ;2729; $10,00 ; $125,00 ; $6 822,50 ;01.12.2014
Midmarket;United States of America; Paseo ; Low ;1925; $10,00 ; $15,00 ; $577,50 ;01.12.2013
Government;United States of America; Paseo ; Low ;2013; $10,00 ; $7,00 ; $281,82 ;01.12.2013
Channel Partners;France; Paseo ; Low ;1055; $10,00 ; $12,00 ; $253,20 ;01.12.2014
Channel Partners;Mexico; Paseo ; Low ;1084; $10,00 ; $12,00 ; $260,16 ;01.12.2014
Government;United States of America; Velo ; Low ;1566; $120,00 ; $20,00 ; $626,40 ;01.10.2014
Government;Germany; Velo ; Low ;2966; $120,00 ; $350,00 ; $20 762,00 ;01.10.2013
Government;Germany; Velo ; Low ;2877; $120,00 ; $350,00 ; $20 139,00 ;01.10.2014
Enterprise;Germany; Velo ; Low ;809; $120,00 ; $125,00 ; $2 022,50 ;01.10.2013
Enterprise;Mexico; Velo ; Low ;2145; $120,00 ; $125,00 ; $5 362,50 ;01.10.2013
Channel Partners;France; Velo ; Low ;1055; $120,00 ; $12,00 ; $253,20 ;01.12.2014
Government;Mexico; Velo ; Low ;544; $120,00 ; $20,00 ; $217,60 ;01.12.2013
Channel Partners;Mexico; Velo ; Low ;1084; $120,00 ; $12,00 ; $260,16 ;01.12.2014
Enterprise;Mexico; VTT ; Low ;662; $250,00 ; $125,00 ; $1 655,00 ;01.06.2014
Small Business;Germany; VTT ; Low ;214; $250,00 ; $300,00 ; $1 284,00 ;01.10.2013
Government;Germany; VTT ; Low ;2877; $250,00 ; $350,00 ; $20 139,00 ;01.10.2014
Enterprise;Canada; VTT ; Low ;2729; $250,00 ; $125,00 ; $6 822,50 ;01.12.2014
Government;United States of America; VTT ; Low ;266; $250,00 ; $350,00 ; $1 862,00 ;01.12.2013
Government;Mexico; VTT ; Low ;1940; $250,00 ; $350,00 ; $13 580,00 ;01.12.2013
Small Business;Germany; Amarilla ; Low ;259; $260,00 ; $300,00 ; $1 554,00 ;01.03.2014
Small Business;Mexico; Amarilla ; Low ;1101; $260,00 ; $300,00 ; $6 606,00 ;01.03.2014
Enterprise;Germany; Amarilla ; Low ;2276; $260,00 ; $125,00 ; $5 690,00 ;01.05.2014
Government;Germany; Amarilla ; Low ;2966; $260,00 ; $350,00 ; $20 762,00 ;01.10.2013
Government;United States of America; Amarilla ; Low ;1236; $260,00 ; $20,00 ; $494,40 ;01.11.2014
Government;France; Amarilla ; Low ;941; $260,00 ; $20,00 ; $376,40 ;01.11.2014
Small Business;Canada; Amarilla ; Low ;1916; $260,00 ; $300,00 ; $11 496,00 ;01.12.2014
Enterprise;France; Carretera ; Low ;4243,5; $3,00 ; $125,00 ; $15 913,13 ;01.04.2014
Government;Germany; Carretera ; Low ;2580; $3,00 ; $20,00 ; $1 548,00 ;01.04.2014
Small Business;Germany; Carretera ; Low ;689; $3,00 ; $300,00 ; $6 201,00 ;01.06.2014
Channel Partners;United States of America; Carretera ; Low ;1947; $3,00 ; $12,00 ; $700,92 ;01.09.2014
Channel Partners;Canada; Carretera ; Low ;908; $3,00 ; $12,00 ; $326,88 ;01.12.2013
Government;Germany; Montana ; Low ;1958; $5,00 ; $7,00 ; $411,18 ;01.02.2014
Channel Partners;France; Montana ; Low ;1901; $5,00 ; $12,00 ; $684,36 ;01.06.2014
Government;France; Montana ; Low ;544; $5,00 ; $7,00 ; $114,24 ;01.09.2014
Government;Germany; Montana ; Low ;1797; $5,00 ; $350,00 ; $18 868,50 ;01.09.2013
Enterprise;France; Montana ; Low ;1287; $5,00 ; $125,00 ; $4 826,25 ;01.12.2014
Enterprise;Germany; Montana ; Low ;1706; $5,00 ; $125,00 ; $6 397,50 ;01.12.2014
Small Business;France; Paseo ; Low ;2434,5; $10,00 ; $300,00 ; $21 910,50 ;01.01.2014
Enterprise;Canada; Paseo ; Low ;1774; $10,00 ; $125,00 ; $6 652,50 ;01.03.2014
Channel Partners;France; Paseo ; Low ;1901; $10,00 ; $12,00 ; $684,36 ;01.06.2014
Small Business;Germany; Paseo ; Low ;689; $10,00 ; $300,00 ; $6 201,00 ;01.06.2014
Enterprise;Germany; Paseo ; Low ;1570; $10,00 ; $125,00 ; $5 887,50 ;01.06.2014
Channel Partners;United States of America; Paseo ; Low ;1369,5; $10,00 ; $12,00 ; $493,02 ;01.07.2014
Enterprise;Canada; Paseo ; Low ;2009; $10,00 ; $125,00 ; $7 533,75 ;01.10.2014
Midmarket;Germany; Paseo ; Low ;1945; $10,00 ; $15,00 ; $875,25 ;01.10.2013
Enterprise;France; Paseo ; Low ;1287; $10,00 ; $125,00 ; $4 826,25 ;01.12.2014
Enterprise;Germany; Paseo ; Low ;1706; $10,00 ; $125,00 ; $6 397,50 ;01.12.2014
Enterprise;Canada; Velo ; Low ;2009; $120,00 ; $125,00 ; $7 533,75 ;01.10.2014
Small Business;United States of America; VTT ; Low ;2844; $250,00 ; $300,00 ; $25 596,00 ;01.02.2014
Channel Partners;Mexico; VTT ; Low ;1916; $250,00 ; $12,00 ; $689,76 ;01.04.2014
Enterprise;Germany; VTT ; Low ;1570; $250,00 ; $125,00 ; $5 887,50 ;01.06.2014
Small Business;Canada; VTT ; Low ;1874; $250,00 ; $300,00 ; $16 866,00 ;01.08.2014
Government;Mexico; VTT ; Low ;1642; $250,00 ; $350,00 ; $17 241,00 ;01.08.2014
Midmarket;Germany; VTT ; Low ;1945; $250,00 ; $15,00 ; $875,25 ;01.10.2013
Government;Canada; Carretera ; Low ;831; $3,00 ; $20,00 ; $498,60 ;01.05.2014
Government;Mexico; Paseo ; Low ;1760; $10,00 ; $7,00 ; $369,60 ;01.09.2013
Government;Canada; Velo ; Low ;3850,5; $120,00 ; $20,00 ; $2 310,30 ;01.04.2014
Channel Partners;Germany; VTT ; Low ;2479; $250,00 ; $12,00 ; $892,44 ;01.01.2014
Midmarket;Mexico; Montana ; Low ;2031; $5,00 ; $15,00 ; $1 218,60 ;01.10.2014
Midmarket;Mexico; Paseo ; Low ;2031; $10,00 ; $15,00 ; $1 218,60 ;01.10.2014
Midmarket;France; Paseo ; Low ;2261; $10,00 ; $15,00 ; $1 356,60 ;01.12.2013
Government;United States of America; Velo ; Low ;736; $120,00 ; $20,00 ; $588,80 ;01.09.2013
Government;Canada; Carretera ; Low ;2851; $3,00 ; $7,00 ; $798,28 ;01.10.2013
Small Business;Germany; Carretera ; Low ;2021; $3,00 ; $300,00 ; $24 252,00 ;01.10.2014
Government;United States of America; Carretera ; Low ;274; $3,00 ; $350,00 ; $3 836,00 ;01.12.2014
Midmarket;Canada; Montana ; Low ;1967; $5,00 ; $15,00 ; $1 180,20 ;01.03.2014
Small Business;Germany; Montana ; Low ;1859; $5,00 ; $300,00 ; $22 308,00 ;01.08.2014
Government;Canada; Montana ; Low ;2851; $5,00 ; $7,00 ; $798,28 ;01.10.2013
Small Business;Germany; Montana ; Low ;2021; $5,00 ; $300,00 ; $24 252,00 ;01.10.2014
Enterprise;Mexico; Montana ; Low ;1138; $5,00 ; $125,00 ; $5 690,00 ;01.12.2014
Government;Canada; Paseo ; Low ;4251; $10,00 ; $7,00 ; $1 190,28 ;01.01.2014
Enterprise;Germany; Paseo ; Low ;795; $10,00 ; $125,00 ; $3 975,00 ;01.03.2014
Small Business;Germany; Paseo ; Low ;1414,5; $10,00 ; $300,00 ; $16 974,00 ;01.04.2014
Small Business;United States of America; Paseo ; Low ;2918; $10,00 ; $300,00 ; $35 016,00 ;01.05.2014
Government;United States of America; Paseo ; Low ;3450; $10,00 ; $350,00 ; $48 300,00 ;01.07.2014
Enterprise;France; Paseo ; Low ;2988; $10,00 ; $125,00 ; $14 940,00 ;01.07.2014
Midmarket;Canada; Paseo ; Low ;218; $10,00 ; $15,00 ; $130,80 ;01.09.2014
Government;Canada; Paseo ; Low ;2074; $10,00 ; $20,00 ; $1 659,20 ;01.09.2014
Government;United States of America; Paseo ; Low ;1056; $10,00 ; $20,00 ; $844,80 ;01.09.2014
Midmarket;United States of America; Paseo ; Low ;671; $10,00 ; $15,00 ; $402,60 ;01.10.2013
Midmarket;Mexico; Paseo ; Low ;1514; $10,00 ; $15,00 ; $908,40 ;01.10.2013
Government;United States of America; Paseo ; Low ;274; $10,00 ; $350,00 ; $3 836,00 ;01.12.2014
Enterprise;Mexico; Paseo ; Low ;1138; $10,00 ; $125,00 ; $5 690,00 ;01.12.2014
Channel Partners;United States of America; Velo ; Low ;1465; $120,00 ; $12,00 ; $703,20 ;01.03.2014
Government;Canada; Velo ; Low ;2646; $120,00 ; $20,00 ; $2 116,80 ;01.09.2013
Government;France; Velo ; Low ;2177; $120,00 ; $350,00 ; $30 478,00 ;01.10.2014
Channel Partners;France; VTT ; Low ;866; $250,00 ; $12,00 ; $415,68 ;01.05.2014
Government;United States of America; VTT ; Low ;349; $250,00 ; $350,00 ; $4 886,00 ;01.09.2013
Government;France; VTT ; Low ;2177; $250,00 ; $350,00 ; $30 478,00 ;01.10.2014
Midmarket;Mexico; VTT ; Low ;1514; $250,00 ; $15,00 ; $908,40 ;01.10.2013
Government;Mexico; Amarilla ; Low ;1865; $260,00 ; $350,00 ; $26 110,00 ;01.02.2014
Enterprise;Mexico; Amarilla ; Low ;1074; $260,00 ; $125,00 ; $5 370,00 ;01.04.2014
Government;Germany; Amarilla ; Low ;1907; $260,00 ; $350,00 ; $26 698,00 ;01.09.2014
Midmarket;United States of America; Amarilla ; Low ;671; $260,00 ; $15,00 ; $402,60 ;01.10.2013
Government;Canada; Amarilla ; Low ;1778; $260,00 ; $350,00 ; $24 892,00 ;01.12.2013
Government;Germany; Montana ; Medium ;1159; $5,00 ; $7,00 ; $405,65 ;01.10.2013
Government;Germany; Paseo ; Medium ;1372; $10,00 ; $7,00 ; $480,20 ;01.01.2014
Government;Canada; Paseo ; Medium ;2349; $10,00 ; $7,00 ; $822,15 ;01.09.2013
Government;Mexico; Paseo ; Medium ;2689; $10,00 ; $7,00 ; $941,15 ;01.10.2014
Channel Partners;Canada; Paseo ; Medium ;2431; $10,00 ; $12,00 ; $1 458,60 ;01.12.2014
Channel Partners;Canada; Velo ; Medium ;2431; $120,00 ; $12,00 ; $1 458,60 ;01.12.2014
Government;Mexico; VTT ; Medium ;2689; $250,00 ; $7,00 ; $941,15 ;01.10.2014
Government;Mexico; Amarilla ; Medium ;1683; $260,00 ; $7,00 ; $589,05 ;01.07.2014
Channel Partners;Mexico; Amarilla ; Medium ;1123; $260,00 ; $12,00 ; $673,80 ;01.08.2014
Government;Germany; Amarilla ; Medium ;1159; $260,00 ; $7,00 ; $405,65 ;01.10.2013
Channel Partners;France; Carretera ; Medium ;1865; $3,00 ; $12,00 ; $1 119,00 ;01.02.2014
Channel Partners;Germany; Carretera ; Medium ;1116; $3,00 ; $12,00 ; $669,60 ;01.02.2014
Government;France; Carretera ; Medium ;1563; $3,00 ; $20,00 ; $1 563,00 ;01.05.2014
Small Business;United States of America; Carretera ; Medium ;991; $3,00 ; $300,00 ; $14 865,00 ;01.06.2014
Government;Germany; Carretera ; Medium ;1016; $3,00 ; $7,00 ; $355,60 ;01.11.2013
Midmarket;Mexico; Carretera ; Medium ;2791; $3,00 ; $15,00 ; $2 093,25 ;01.11.2014
Government;United States of America; Carretera ; Medium ;570; $3,00 ; $7,00 ; $199,50 ;01.12.2014
Government;France; Carretera ; Medium ;2487; $3,00 ; $7,00 ; $870,45 ;01.12.2014
Government;France; Montana ; Medium ;1384,5; $5,00 ; $350,00 ; $24 228,75 ;01.01.2014
Enterprise;United States of America; Montana ; Medium ;3627; $5,00 ; $125,00 ; $22 668,75 ;01.07.2014
Government;Mexico; Montana ; Medium ;720; $5,00 ; $350,00 ; $12 600,00 ;01.09.2013
Channel Partners;Germany; Montana ; Medium ;2342; $5,00 ; $12,00 ; $1 405,20 ;01.11.2014
Small Business;Mexico; Montana ; Medium ;1100; $5,00 ; $300,00 ; $16 500,00 ;01.12.2013
Government;France; Paseo ; Medium ;1303; $10,00 ; $20,00 ; $1 303,00 ;01.02.2014
Enterprise;United States of America; Paseo ; Medium ;2992; $10,00 ; $125,00 ; $18 700,00 ;01.03.2014
Enterprise;France; Paseo ; Medium ;2385; $10,00 ; $125,00 ; $14 906,25 ;01.03.2014
Small Business;Mexico; Paseo ; Medium ;1607; $10,00 ; $300,00 ; $24 105,00 ;01.04.2014
Government;United States of America; Paseo ; Medium ;2327; $10,00 ; $7,00 ; $814,45 ;01.05.2014
Small Business;United States of America; Paseo ; Medium ;991; $10,00 ; $300,00 ; $14 865,00 ;01.06.2014
Government;United States of America; Paseo ; Medium ;602; $10,00 ; $350,00 ; $10 535,00 ;01.06.2014
Midmarket;France; Paseo ; Medium ;2620; $10,00 ; $15,00 ; $1 965,00 ;01.09.2014
Government;Canada; Paseo ; Medium ;1228; $10,00 ; $350,00 ; $21 490,00 ;01.10.2013
Government;Canada; Paseo ; Medium ;1389; $10,00 ; $20,00 ; $1 389,00 ;01.10.2013
Enterprise;United States of America; Paseo ; Medium ;861; $10,00 ; $125,00 ; $5 381,25 ;01.10.2014
Enterprise;France; Paseo ; Medium ;704; $10,00 ; $125,00 ; $4 400,00 ;01.10.2013
Government;Canada; Paseo ; Medium ;1802; $10,00 ; $20,00 ; $1 802,00 ;01.12.2013
Government;United States of America; Paseo ; Medium ;2663; $10,00 ; $20,00 ; $2 663,00 ;01.12.2014
Government;France; Paseo ; Medium ;2136; $10,00 ; $7,00 ; $747,60 ;01.12.2013
Midmarket;Germany; Paseo ; Medium ;2116; $10,00 ; $15,00 ; $1 587,00 ;01.12.2013
Midmarket;United States of America; Velo ; Medium ;555; $120,00 ; $15,00 ; $416,25 ;01.01.2014
Midmarket;Mexico; Velo ; Medium ;2861; $120,00 ; $15,00 ; $2 145,75 ;01.01.2014
Enterprise;Germany; Velo ; Medium ;807; $120,00 ; $125,00 ; $5 043,75 ;01.02.2014
Government;United States of America; Velo ; Medium ;602; $120,00 ; $350,00 ; $10 535,00 ;01.06.2014
Government;United States of America; Velo ; Medium ;2832; $120,00 ; $20,00 ; $2 832,00 ;01.08.2014
Government;France; Velo ; Medium ;1579; $120,00 ; $20,00 ; $1 579,00 ;01.08.2014
Enterprise;United States of America; Velo ; Medium ;861; $120,00 ; $125,00 ; $5 381,25 ;01.10.2014
Enterprise;France; Velo ; Medium ;704; $120,00 ; $125,00 ; $4 400,00 ;01.10.2013
Government;France; Velo ; Medium ;1033; $120,00 ; $20,00 ; $1 033,00 ;01.12.2013
Small Business;Germany; Velo ; Medium ;1250; $120,00 ; $300,00 ; $18 750,00 ;01.12.2014
Government;Canada; VTT ; Medium ;1389; $250,00 ; $20,00 ; $1 389,00 ;01.10.2013
Government;United States of America; VTT ; Medium ;1265; $250,00 ; $20,00 ; $1 265,00 ;01.11.2013
Government;Germany; VTT ; Medium ;2297; $250,00 ; $20,00 ; $2 297,00 ;01.11.2013
Government;United States of America; VTT ; Medium ;2663; $250,00 ; $20,00 ; $2 663,00 ;01.12.2014
Government;United States of America; VTT ; Medium ;570; $250,00 ; $7,00 ; $199,50 ;01.12.2014
Government;France; VTT ; Medium ;2487; $250,00 ; $7,00 ; $870,45 ;01.12.2014
Government;Germany; Amarilla ; Medium ;1350; $260,00 ; $350,00 ; $23 625,00 ;01.02.2014
Government;Canada; Amarilla ; Medium ;552; $260,00 ; $350,00 ; $9 660,00 ;01.08.2014
Government;Canada; Amarilla ; Medium ;1228; $260,00 ; $350,00 ; $21 490,00 ;01.10.2013
Small Business;Germany; Amarilla ; Medium ;1250; $260,00 ; $300,00 ; $18 750,00 ;01.12.2014
Midmarket;France; Paseo ; Medium ;3801; $10,00 ; $15,00 ; $3 420,90 ;01.04.2014
Government;United States of America; Carretera ; Medium ;1117,5; $3,00 ; $20,00 ; $1 341,00 ;01.01.2014
Midmarket;Canada; Carretera ; Medium ;2844; $3,00 ; $15,00 ; $2 559,60 ;01.06.2014
Channel Partners;Mexico; Carretera ; Medium ;562; $3,00 ; $12,00 ; $404,64 ;01.09.2014
Channel Partners;Canada; Carretera ; Medium ;2299; $3,00 ; $12,00 ; $1 655,28 ;01.10.2013
Midmarket;United States of America; Carretera ; Medium ;2030; $3,00 ; $15,00 ; $1 827,00 ;01.11.2014
Government;United States of America; Carretera ; Medium ;263; $3,00 ; $7,00 ; $110,46 ;01.11.2013
Enterprise;Germany; Carretera ; Medium ;887; $3,00 ; $125,00 ; $6 652,50 ;01.12.2013
